Τίτλος του δίσκου;Τίτλος τραγουδιού;Συνθέτης;Στιχουργός;Τραγουδιστής;ΕΤΑΙΡΕΙΑ;Ετος κυκλοφ.;Στίχοι;Εκτέλεση;Χρόνος
Ο Ελληνας της ξενιτιάς;Πατρίδα μου αφιλόξενη;Γιαννόπουλος Χρήστος;Χατζής Αλέξανδρος & Γεωργίου Γιάννης;Χατζής Αλέξανδρος;ΚΑΘΡΕΦΤΗΣ ΗΧΩΝ ΑΛΗΘΙΝΩΝ ( EL );2018-01-01;"Ελλάδα πόσο μου έλειψες,
τον ήλιο σου αγαπάω,
εσύ όμως με έδιωξες
σε άλλη γη να πάω.

Οι εποχές αλλάξανε
μα εσύ στα ίδια μένεις,
μαζί σου εμείς βουλιάξαμε
και τώρα αργοπεθαίνεις.

Πατρίδα μου αφιλόξενη
κι εμείς δικοί σου πρόξενοι,
παιδιά σου και παιδιά μας,
τα παίρνεις μακριά μας.

Ζητιάνα και ξυπόλυτη,
σε θέλουν οι υπόλοιποι,
για άλλους θυσιάστηκες,
σ' έναν σταυρό κρεμάστηκες.

Ελλάδα μου σταμάτησες
να δίνεις πιά τα φώτα
Στο ψέμα σου ναυάγησες
κι έχεις αλλάξει ρότα.

Τόσους αιώνες έφεγγες,
πολιτισμού κοιτίδα
μα τώρα πιά αντί για φως,
μας κλέβεις την ελπίδα.";1;2018
Πορνογραφία;Η Ελλάδα σου μοιάζει Μπλανς Επιφανί;Χατζιδάκις Μάνος;Χατζιδάκις Μάνος;Χορωδία;MINOS ( EL );1982-10-10;"Η Ελλάδα σου μοιάζει Μπλανς Επιφανί
γιατί έχει ήθος , αφέλεια , υπομονή , 
να την βιάζουν τακτικά οι κατακτητές .
Με επιμονή τα καταφέρνει η Ελληνίς Επιφανί
να παραμένει πάντα παρθένος και γυμνή .";1;1982
Δική μου η χαρά;Η ζωή μου τραγούδι;Νικολόπουλος Χρήστος;Χαψιάδης Λευτέρης;Μακεδόνας Κώστας & Νικολόπουλος Χρήστος;ΑΚΤΗ ( EL );2003-11-26;"Μάθαμε γράμματα στο ίδιο το σχολείο
κι είχαμε δάσκαλο το Στέλιο.
Το σπίτι κι η παρέα μας ωδείο
οι στίχοι του Λευτέρη για θεμέλιο

X.N:
Ξεκίνησα πριν χρόνια από σένα
Πρόλαβα κι είδα τον Τσιτσάνη ζωντανό
Κι έχω τραγούδια στην καρδιά μου φυλαγμένα
που κάθε βράδυ δεν ξεχνώ να τραγουδώ.

Refrain Μαζί:
H ζωή μου τραγούδι, το τραγούδι ζωή
Η Ελλάδα σε νότες, η Ελλάδα που ζει
Μαθητές κάθε χρόνο σε καινούργια θρανία
το τραγούδι που πάει, η κρυφή αγωνία.

Χ.Ν:
Μάθαμε γράμματα στην ίδια κοινωνία
Στο μεροκάματο του δρόμου.
Στα χνάρια του Γρηγόρη στην πορεία
μας βρήκε το ξετύλιγμα του χρόνου

Κ.Μ:
Με πήρε ο Χατζιδάκις απ' το χέρι
μπήκα σε κήπους μ' ανθισμένες πασχαλιές.
Είδα τον Μίκη στα ουράνια σαν αστέρι
να διευθύνει εκατομμύρια καρδιές.

Refrain Μαζί:
H ζωή μου τραγούδι, το τραγούδι ζωή ...""";1;2003
Η ζωή μου τραγούδι;Η ζωή μου τραγούδι;Νικολόπουλος Χρήστος;Χαψιάδης Λευτέρης;Μακεδόνας Κώστας & Νικολόπουλος Χρήστος;SONY MUSIC;2002-12-17;"Μάθαμε γράμματα στο ίδιο το σχολείο 
κι είχαμε δάσκαλο το Στέλιο.
Το σπίτι κι η παρέα μας ωδείο
οι στίχοι του Λευτέρη για θεμέλιο

χ.N∙ 
Ξεκίνησα πριν χρόνια από σένα
Πρόλαβα κι είδα τον Τσιτσάνη ζωντανό
Κι έχω τραγούδια στην καρδιά μου φυλαγμένα
που κάθε βράδυ δεν ξεχνώ να τραγουδώ.

Refrain Μαζί∙ 
H ζωή μου τραγούδι, το τραγούδι ζωή 
Η Ελλάδα σε νότες, η Ελλάδα που ζει
Μαθητές κάθε χρόνο σε καινούργια θρανία
το τραγούδι που πάει, η κρυφή αγωνία.

Χ.Ν∙
Μάθαμε γράμματα στην ίδια κοινωνία
Στο μεροκάματο του δρόμου.
Στα χνάρια του Γρηγόρη στην πορεία
μας βρήκε το ξετύλιγμα του χρόνου

Κ.Μ∙
Με πήρε ο Χατζιδάκις απ' το χέρι
μπήκα σε κήπους μ' ανθισμένες πασχαλιές.
Είδα τον Μίκη στα ουράνια σαν αστέρι
να διευθύνει εκατομμύρια καρδιές.

Refrain Μαζί∙ 
H ζωή μου τραγούδι, το τραγούδι ζωή ...""
";1;2002
Εμφύλιος Ερωτας;Μια είναι η ουσία;Νικολόπουλος Χρήστος;Χαψιάδης Λευτέρης;Αλεξίου Χάρις;MINOS ( EL );1984-08-04;"Μία είναι η ουσία∙
δεν υπάρχει αθανασία

Άιντε μια είναι η ουσία∙
δεν υπάρχει αθανασία

Αχ και του παράδεισου η κοιλάδα
δε χωράει την Ελλάδα

Να 'σουνα , Θεέ μου , πότης
να σωθεί η ανθρωπότης , 
στο μεθύσι σου απάνω
να μαχαίρωνες το Χάρο .

Μία είναι η ουσία∙
δεν υπάρχει αθανασία

Άιντε μια είναι η ουσία∙
δεν υπάρχει αθανασία

Άιντε 'ν' αρρωστήσει ο Άγιος Πέτρος
να τη βγάλουμε και φέτος .

Να 'σουνα , Θεέ μου , πότης
να σωθεί η ανθρωπότης , 
στο μεθύσι σου απάνω
να μαχαίρωνες το Χάρο .";1;1984
Οχι πισωγυρίσματα;Ελλάδα είναι μία;Νικολόπουλος Χρήστος;Χαψιάδης Λευτέρης;Μαργαρίτης Γιώργος;LYRA ( EL );1987-01-01;"Όπου και να πας, όπου κι αν βρεθείς
σαν την Ελλάδα δε θα βρεις, 
Ελλάδα είναι μία.
Κάτι θα ξέραν οι θεοί
και του Ολύμπου την κορφή
την είχαν κατοικία.

Την Ελλάδα απ' την καρδιά σου
δεν μπορεί κανείς να βγάλει, 
έχει μάθει στα παιδιά της
να 'ρχονται κοντά της πάλι.

Όπου και να πας, όπου κι αν βρεθείς
σαν την Ελλάδα δε θα βρεις, 
Ελλάδα είναι μία.
Έχει θρησκεία την πενιά
και τη ρετσίνα την παλιά
για Θεία Κοινωνία.
";1;1987
Τακ τακ;Το κορμί σου σαν λαμπάδα;Βολάνης Σώτης;Χαψιάδης Λευτέρης;Βολάνης Σώτης;VASIPAP ( EL );2005-01-01;"Το κορμί σου φλόγες βγάζει
και ψηλά μας ανεβάζει.
Χόρεψε απόψε πάλι
όπως δε χορεύει άλλη.

Το κορμί σου σαν λαμπάδα
έκαψε όλη την Ελλάδα,
καίγομαι κι εγώ μαζί σου
με το όμορφο κορμί σου.

Το κορμί σου σαν λαμπάδα
έκαψε όλη την Ελλάδα,
να χορεύεις που σου πάει
όπως το χορεύουν στο Ντουμπάι.

Χόρεψε απόψε πάλι
όπως δε χορεύει άλλη,
να τρελάνεις μια καρδιά
που για σένανε χτυπά.

Το κορμί σου σαν λαμπάδα
έκαψε όλη την Ελλάδα,
καίγομαι κι εγώ μαζί σου
με το όμορφο κορμί σου.

Το κορμί σου σαν λαμπάδα
έκαψε όλη την Ελλάδα,
να χορεύεις που σου πάει
όπως το χορεύουν στο Ντουμπάι.";1;2005
Επιβάλλεται;Ορεστιάδα;Πολυκανδριώτης Αθανάσιος;Χαψιάδης Λευτέρης;Διονυσίου Στέλιος & Πλούταρχος Γιάννης;MINOS ( EL );1999-10-25;"Φίλε συγγνώμη κάπου σε ξέρω κάπου σε έχω ξαναδεί
είμαι καινούργιος στην μονάδα παλιοσειρά φαίνεσαι εσύ
μήπως σε ξέρω Απ' την Γλυφάδα σε κάποια κόντρα βραδινή

Δεν κάνεις λάθος και εγώ σε ξέρω και ας άλλαξες τόσο πολύ
σε ένα μπαράκι σε θυμάμαι με μια ψηλή μελαχρινή

Είμαστε στην Ορεστιάδα σκοπιά στην πρώτη την γραμμή
εδώ τελειώνει και η Ελλάδα μα δεν τελειώνει και η ζωή

Φίλε συγγνώμη που όλο ρωτώ, με έχει χαζέψει το χακί
είμαι ένα μήνα στην μονάδα και είναι σαν να μαι μια ζωή
Αλήθεια στην Ορεστιάδα ψυχή δεν ήρθε να με δει

Με τον καιρό θα συνηθίσεις άκου τι λέει ένας παλιός
και όταν θα πάρεις κάποια άδεια όλα θα φαίνονται αλλιώς
";1;1999
Μήδεια;Ιαχές έχου γίνει οι στεναγμοί;Κραουνάκης Σταμάτης;Χειμωνάς Γιώργος;Βιτάλη Ελένη;LYRA ( EL );1990-01-01;"Ιαχές έχουν γίνει οι στεναγμοί
Της άμοιρης
Και οξείες βοές οι κατάρες της
Γίναν κακό
Γάμο ο προδότης να έχει
Για τ'άδικα πάθη της
Τον Δία φωνάζει
Και τη Θέμη των όρκων
Που αυτή την επέρασε
Στην μεγάλη Ελλάδα
Στην απέναντι γη
Και με αρμυρό σαν τα δάκρυα κλειδί
Την κατάκλειστη άνοιξε
Θάλασσα, νύχτα";1;1990
Φεστιβάλ Ελληνικού τραγουδιού Θεσσαλονίκης;Τα στολίδια μας;Χερουβείμ Ντίνος;Χερουβείμ Ντίνος;Παπαμακαρίου Μαριάννα;SONY MUSIC;2007-12-01;"Θέλει δική του μουσική και ο Θεός για να φανεί,
να βγει ξανά να περπατήσει στην Ελλάδα.
Θέλει ταξίμια σαν ψαλμούς, θέλει δικούς του ουρανούς
για να μας βγάλει απο το τέλμα στη λιακάδα.

Έτσι με βρήκε ο αιώνας εδώ κάτω
να τραγουδάω και να έχω πιάσει πάτο,
μια απομίμηση κακή ξενοφερμένη,
μια μελωδία που δεν ξέρω πού πηγαίνει.

Μα τελικά εμείς θα μείνουμε στα ίδια,
μες στην πενιά και στα δικά μας τα στολίδια,
γιατί η ψυχή μας δεν μπορεί να ξεκολλήσει
από τους δρόμους που έχουν όλοι περπατήσει.

Έτσι με βρήκε ο αιώνας εδώ πέρα,
έχω σαστίσει και δεν πάω παραπέρα.
Μες στα αζήτητα μας ρίξανε οι ξύπνιοι,
μοντερνοκάπηλοι μας βάλανε σε λήθη.

Μα τελικά εμείς θα μείνουμε στα ίδια,
μες στην πενιά και στα δικά μας τα στολίδια,
γιατί η ψυχή μας δεν μπορεί να ξεκολλήσει
από τους δρόμους που έχουν όλοι περπατήσει.

Θέλει δική του μουσική και ο Θεός για να φανεί,
να βγει ξανά να περπατήσει στην Ελλάδα.
Θέλει ταξίμια σαν ψαλμούς, θέλει δικούς του ουρανούς
για να μας βγάλει απο το τέλμα στη λιακάδα.";1;2007
Μαζί;Μα εγώ είμαι Ελληνας;Χορλιαφάκης Κώστας & Κουμπάς Στράτος;Χορλιαφάκης Κώστας;Σφακιανάκης Νότης;COBALT MUSIC;2014-11-25;"Χρόνια με χτυπάτε χρόνια στέκομαι
χρόνια με πουλάτε και τ' ανέχομαι.
Χρόνια ο σκοπός σας να αφανιστώ
Έλληνας χαμένος πρόγραμμα βατό,
Έλληνας θαμμένος, γη χωρίς Θεό.

Μα εγώ είμαι Έλληνας δεν θα πεθάνω
υπήρξα άρχοντας στον κόσμο επάνω,
είμαι αυτός που σου 'χει μάθει
τ' αλφαβητάριο μην κάνεις λάθη.

Εγώ σε γέννησα, σ' έχω αναθρέψει
κι ότι δικό σου μου το 'χεις κλέψει,
μα εγώ είμαι Έλληνας πάντα αντάρτης,
άνθρωπος δίκαιος και δημοκράτης.

Τώρα ζητιανεύω κι η ψυχή σου χαίρεται
τώρα ξεπουλιέμαι μα ποιος Θεός το δέχεται.
Τώρα μου ζητάτε τα υπάρχω μου
ως και την ψυχή μου που 'χω πάνω μου,
δεν θα μου τα πάρεις ούτε από τον τάφο μου.

Μα εγώ είμαι Έλληνας δεν θα πεθάνω
υπήρξα άρχοντας στον κόσμο επάνω,
είμαι αυτός που σου 'χει μάθει
τ' αλφαβητάριο μην κάνεις λάθη.

Εγώ σε γέννησα, σ' έχω αναθρέψει
κι ότι δικό σου μου το 'χεις κλέψει,
μα εγώ είμαι Έλληνας πάντα αντάρτης,
άνθρωπος δίκαιος και δημοκράτης.

Μα εγώ είμαι Έλληνας ευλογημένος
σ' επαναστάσεις αναθρεμμένος,
έχω παλέψει, έχω νικήσει,
θεριά ανήμερα έχω λυγίσει.

Δεν κάνω πίσω, θα πολεμήσω
και τους ρουφιάνους θα τους διαλύσω,
αυτούς Ελλάδα μου που χρόνια τώρα
τον δρόμο σ' άνοιξαν στην κατηφόρα.";1;2014
Οι μεθυσμένες μας πενιές;Οι μεθυσμένες μας πενιές;Κανελλόπουλος Χρήστος;Χρόνης Παναγιώτης;Χρόνης Παναγιώτης;ΚΑΘΡΕΦΤΗΣ ΗΧΩΝ ΑΛΗΘΙΝΩΝ ( EL );2023-01-01;"Οι μεθυσμένες μας πενιές
ταξίμια μες στις γειτονιές
του Μάρκου είναι οι καημοί
και της Ελλάδας η ρωγμή.
Οι μεθυσμένες μας πενιές.

Οι μεθυσμένες μας πενιές
ειν' του Τσαρούχη ζωγραφιές,
του Ρίτσου είναι η γραφή,
του Στέλιου αναστεναγμοί.
Οι μεθυσμένες μας πενιές

Οι μεθυσμένες μας πενιές
του Μάνου οι λεπτές χορδές,
φωτιές, του έρωτα γιορτές
στων φεγγαριών τις αυλές.
Οι μεθυσμένες μας πενιές.

Οι μεθυσμένες μας πενιές
θάλασσες του Ελύτη
είναι το άξιον εστί
και η κραυγή του Μίκη.

Οι μεθυσμένες μας πενιές.
ταξίμια μες στις γειτονιές.";1;2023
Δέκα ευχές πρίν γεννηθείς;Γαλάζια Αμερική;Λαλαίος Δημήτρης;Asfix;Asfix;LIVE RECORDS;2005-01-01;"Μου λείπει το χωριό μου, και το ποδήλατο μου, και συ,
...και συ
Μέσα στον πανικό μου, φτύνω τον εαυτό μου, που ζει,
...που ζει

Μας φτιάξαν άλλα μέρη να ζούμε στριμωγμένοι μαζί
Μια Ελλάδα ευτυχισμένη με ουίσκι μεθυσμένη και αυτή
Είμαστε πιο δεμένοι μουγκοί και χρεωμένοι εμείς
Πατρίδα μου βαμμένη μικρή γαλάζια Αμερική

Και έπεσα σε κώμα, σημαίες και αγώνα να δεις,
...να δεις
Σε πράσινο χειμώνα με μπλε μαγιό και ψώρα είχα μπει,
...είχα μπει

Και μπήκα σε άλλα μέρη να ζούμε στριμωγμένοι μαζί
Μια Ελλάδα ευτυχισμένη με ουίσκι μεθυσμένη κι αυτή
Είμαστε πιο δεμένοι μουγκοί και χρεωμένοι εμείς
Πατρίδα μου βαμμένη μικρή γαλάζια Αμερική

Πατρίδα μου βαμμένη, μικρή γαλάζια Αμερική
Πατρίδα μου βαμμένη, μικρή γαλάζια Αμερική
...Πατρίδα μου...";1;2005
Το ρεσιτάλ;Εμβατήριο για λεηλασίες;Χατζιδάκις Μάνος;Brecht Berthold & Ελύτης Οδυσσέας;Σακκάς Σπύρος;ΣΕΙΡΙΟΣ;1990-01-01;"Γιατί τα παλληκάρια μας κι οι κόρες μας γιατί , 
πια δε γνωρίζουνε αίμα και δάκρυα τι θα πει .
Γιατί το μόνο αίμα να ναι απ' τα σφαχτάρια , 
γιατί τα μόνα δάκρυα που λάμπουν το πρωί
να ναι η βροχή που ανθίζει την ελιά πάνω στη γη με ορμή .

Ο βασιλιάς καινούργιες χώρες θα κατακτήσει
και τη φελλάδα των φτωχών κι αυτήν θα την ζητήσει
Του κόσμου το βασίλειο λαμπρά για να στηθεί
πρέπει το φτωχοκάλυβο να ξεθεμελιωθεί .";1;1990
Γράμματα στην αγαπημένη;Αν η μισή μου καρδιά;Λοΐζος Μάνος;Chikmet Nazim & Ρίτσος Γιάννης;Λοΐζος Μάνος;MINOS ( EL );1983-10-01;"Αν η μισή καρδιά μου βρίσκεται γιατρέ εδώ πέρα
Η άλλη μισή στην Κίνα βρίσκεται
Με τη στρατιά που κατεβαίνει προς το Κίτρινο ποτάμι
Κι ύστερα , γιατρέ , την πάσα αυγή
Την πάσα αυγή γιατρέ , με τα χαράματα
Πάντα η καδιά μου στην Ελλάδα τουφεκίζεται .
Κι ύστερα , να , σαν οι φυλακισμένοι γέρνουνε στον ύπνο
Και σβήνουν στο νοσοκομέιο τα τελευταία βήματα
Τραβάει ολόισια , γιατρέ , η καρδιά μου 
Τραβάει , γιατρέ , στην Ισταμπούλ , σ' ένα παλιό ξύλινο σπίτι .
Κι ύστερα , δέκα χρόνια τώρα , να , γιατρέ
Που τίποτα δεν έχω μες στα χέρια μου να δώσω στο φτωχό λαό μου
Τίποτα πάρεξ ένα μήλο
Ένα κόκκινο μήλο , την καρδιά μου .
Κι είναι γιατρέ , απ' αφορμή όλα τούτα 
Που μες στα στήθια μου έχω τούτη την αρρώστια
Όμως , γιατρέ , και μ' όλα τα ντουβάρια που μου κάθονται στα στήθια
Κοιτάω τη νύχτα ανάμεσα απ' τα κάγκελα
Κι όλη η καρδιά μου αντιχτυπά και στο πιο μακρινό αστέρι
";1;1983
Πολιτικά τραγούδια;Αν η μισή μου καρδιά;Μικρούτσικος Θάνος;Chikmet Nazim & Ρίτσος Γιάννης;Δημητριάδη Μαρία;LYRA ( EL );1975-10-01;"Αν η μισή καρδιά μου βρίσκεται γιατρέ εδώ πέρα
Η άλλη μισή στην Κίνα βρίσκεται
Με τη στρατιά που κατεβαίνει προς το Κίτρινο ποτάμι
Κι ύστερα , γιατρέ , την πάσα αυγή
Την πάσα αυγή γιατρέ , με τα χαράματα
Πάντα η καδιά μου στην Ελλάδα τουφεκίζεται .
Κι ύστερα , να , σαν οι φυλακισμένοι γέρνουνε στον ύπνο
Και σβήνουν στο νοσοκομέιο τα τελευταία βήματα
Τραβάει ολόισια , γιατρέ , η καρδιά μου 
Τραβάει , γιατρέ , στην Ισταμπούλ , σ' ένα παλιό ξύλινο σπίτι .
Κι ύστερα , δέκα χρόνια τώρα , να , γιατρέ
Που τίποτα δεν έχω μες στα χέρια μου να δώσω στο φτωχό λαό μου
Τίποτα πάρεξ ένα μήλο
Ένα κόκκινο μήλο , την καρδιά μου .
Κι είναι γιατρέ , απ' αφορμή όλα τούτα 
Που μες στα στήθια μου έχω τούτη την αρρώστια
Όμως , γιατρέ , και μ' όλα τα ντουβάρια που μου κάθονται στα στήθια
Κοιτάω τη νύχτα ανάμεσα απ' τα κάγκελα
Κι όλη η καρδιά μου αντιχτυπά και στο πιο μακρινό αστέρι
";1;1975
Κλασσικά ηχογραφημένα;Παραμύθι;FF.C ( FortiFied Concept );FF.C ( FortiFied Concept );FF.C ( FortiFied Concept );ΗΧΟΤΡΟΝ PRODUCTIONS;2004-01-01;"Όταν ήμουνα μικρός μου 'χαν πει ένα παραμύθι
ότι αυτό που λέγεται φιλία υπάρχει και ζει σ' αυτόν τον πλανήτη .
Μου είχαν πει και για κάτι σπουδαίο που το λέγανε ιδεολογία
και να 'μαι πιστός σε ιδανικά όπως πατρίδα, οικογένεια, θρησκεία .
Μου είχαν πει για μια γενιά εκεί γύρω στο '60 με '70,
για μια επανάσταση κι αν χρειαζότανε η γενιά μου θα έκανε τα ίδια.
Μου είχαν πει και για κάτι παράξενους με καπέλο και μπλε στολή,
αυτοί θα με έσωζαν αν κάποιος κλέφτης στο σπίτι μου μέσα είχε μπει.
Μου είχαν πει για μία χούντα και για μία αριστερά
μου 'παν για κάποιες χαμένες πατρίδες και 400 χρόνια σκλαβιά .
Μου 'παν ότι ήμουν τυχερός γιατί τώρα έχουμε δημοκρατία,
για κάτι που το 'λεγαν σοσιαλισμό και έμοιαζε μ' ελευθερία.
Μου 'παν τα πράγματα έχουν αλλάξει για τη δική μου τη γενιά
κι αφού έχουμε ένα πιάτο να φάμε όλα είναι μια χαρά.
Μου 'παν να βάλω γρήγορα μυαλό και να συμβιβαστώ
κι ότι κάπου εκεί είναι το νόημα της ζωής, αν το ψάξω θα το βρω!

Όταν ήμουνα μικρός μου 'χαν πει ένα παραμύθι,
μα είχε άσχημο τέλος και αυτό το ξέρω ήδη.
Όταν ήμουνα μικρός μου 'χαν διδάξει μια ιστορία,
τώρα μου την λένε αλλιώς, μα εγώ μαθαίνω στην πορεία.

Τώρα όμως που μεγάλωσα το παραμύθι έχει αλλάξει,
δε φοβάμαι πιά τους εχθρούς μου γιατί οι φίλοι μ' έχουνε κάψει.
Κι εκείνο το σπουδαίο που το λέγανε ιδεολογία
έχει καταντήσει γραφικό κι ανήκει πιά στην ιστορία.
Κι όσο για την επανάσταση που θα έκανε η δική μου η γενιά,
την κάνει μέσα από ακριβά αμάξια, ρούχα, μόδα και λεφτά.
Κι αυτοί οι παράξενοι που λέγονται αστυνομικοί
είναι οι περισσότεροι ίδιοι κλέφτες κι επικίνδυνα κομπλεξικοί.
Τώρα όλες οι πολιτικές παρατάξεις έχουνε γίνει ένα,
η εξουσία είναι γλυκιά κι ελκυστική για τον καθένα.
Εμείς δε βιώσαμε τον πόλεμο, ούτε τη δικτατορία,
μήπως φταίει τελικά αυτό που ακόμα δε νιώθω ελευθερία.
Κι αμφισβητώ ότι τα πράγματα είναι καλύτερα για μας,
έχουμε υλικά αγαθά άλλα μας λείπουνε άλλα πολλά.
Μου λείπει κάτι αληθινό να μπορώ να πιστέψω άφοβα σ' αυτό,
νιώθω πως έχω γεράσει πριν προλάβω μάθω να ζω!

Όταν ήμουνα μικρός μου 'χαν πει ένα παραμύθι,
μα είχε άσχημο τέλος και αυτό το ξέρω ήδη.
Όταν ήμουνα μικρός μου 'χαν διδάξει μια ιστορία,
τώρα μου την λένε αλλιώς, μα εγώ μαθαίνω στην πορεία.

Δώσε μου φώτιση Θεέ μου υπάρχει εθνική συσκότιση,
χιλιάδες τα χτυπήματα σε κάθε μου ανόρθωση.
Ή ο κόσμος έχει αλλάξει ή δεν τον έμαθα ποτέ,
πουτανιά, ψέμα και απάτη θεωρούνται κυριλέ.
Κάποτε πίστεψα σε κάτι σε μια ιδεολογία,
πίστεψα στη μουσική μου σαν να ήτανε θρησκεία.
Τώρα πιά με το hip hop κάνουν στριπτίζ μες στα πορνεία,
ζούσα χρόνια μέσα στο ψέμα, τώρα νιώθω αηδία.
Ένα μάτσο εγωπαθείς και επιεικώς κωλόπαιδα,
μια παράσταση κλισέ αρνητικά όλα τα πρότυπα.
Άμα κάτι δε μου κάνει απλώς φεύγω μακριά
δεν ανήκω σε κανέναν, δεν ανήκω πουθενά.
Ο κόσμος έχει μολυνθεί, δεν τον νοιάζει πια
η αλήθεια είναι λέξη ντεμοντέ, η ψευτιά του έγινε συνήθεια.
Η παράδοση πεθαίνει, η Ελλάδα πού να ζει,
βάλανε στο φέρετρο της ευρωπαϊκή επιγραφή.
Η Μασονία αλωνίζει μέσα στην ελληνική βουλή,
σοσιαλισμός και χούντα τώρα 'γιναν ασορτί.
Ψεύτικες δημοσκοπήσεις και αλλοδαποί σ' απογραφή,
μα η κυβέρνηση θέλει ψήφους, θέλει από κάπου να τους βρει.
Σάπια λόγια και ιδέες κι η πουτανιά σαν αρετή
και μετά τα 15 η παρθενιά είναι ντροπή.
Τι πειράζει όμως αυτό τώρα είμαστε Ευρωπαίοι,
ψάξε να βρεις τον ανδρισμό σου σ' ένα αμάξι που να λέει.
Βρες κι ένα καλό τσουλί για να συμπληρώσεις την εικόνα,
γίνε λίγο κουνιστός στην Ευρώπη είναι μόδα.
Ας χαρούμε χωρίς λόγο, έχουμε 21ο αιώνα,
αν το ήξερε ο Σωκράτης τότε θα είχε αλλάξει χώρα.";1;2004
Μέρες παράξενες θαυμάσιες μέρες;Σταματήστε να κατέβω;Foxmoor B.D. ( Μυτακίδης Μιχάλης );Foxmoor B.D. ( Μυτακίδης Μιχάλης );ACTIVE MEMBER;WEA MUSIC GREECE;1999-01-01;"Καλέ μου φίλε πες μου αν ξέρεις τι δουλειά έχω 'δώ
νιώθω πεζός σε μια αργία μες στην εθνική οδό
δεν είμαι τόσο τρελός δεν έχω τα υπαρξιακά μου
είν' τα κρυμμένα τόσα χρόνια τα δικά μου.
Πες μου πως βρέθηκα σε μονοπάτια τόσο μεγάλα
και γιατί μοιάζω με τη μύγα μες στο γάλα
μου τάζαν άλλα όταν ξεκίναγα κι αλλιώς τα βρήκα
ό, τι χειρότερο μπορούσανε μ' αφήσανε για προίκα.
Μεταλλάχθηκα για το κοινό καλό σαν τις ντομάτες
κυφήνιασα τώρα ενώ κι εγώ ήμουν στους εργάτες
έχω ταυτότητα, εκλογικό και διαβατήριο
ατόφιο ατσάλι απ' ευθείας για χυτήριο.
Κάνω δήλωση τίμια, έχω και τα ένσημά μου
είμαι χρόνια στην ουρά, όμως δεν ήρθε η σειρά μου
πήγα μικρός στο στρατό καλό παιδί φευγάτο
και με έβαλε η πατρίδα μου κι ορκίστηκα στο ΝΑΤΟ.
Μου πρότειναν διακοπή της παρουσίας μου
για να ησυχάσουν θ' αναλάβει ένας σωσίας μου
με το στόμα κλειδωμένο, το μυαλό μαζεμένο
ευτυχισμένο η αλλιώς ευνουχισμένο.
Με θέλουν με πίστη σε ρασάτους χρυσοφορεμένους
και παλιά δεκανίκια ενός παράλυτου γένους
ρε, τι δουλειά έχω εδώ μ' αυτούς, τι γυρεύω
Πείτε μπροστά στον οδηγό να σταματήσει να κατέβω.
Στο δρομολόγιο αυτό δε διάλεξα 'ν' ανέβω
βαρέθηκα σκουπίδια να μαζεύω
τι δουλειά έχω εγώ μ' αυτά τι γυρεύω
σταματήστε κάπου εδώ να κατέβω.
Μέσα στις μέρες τις παράξενες μεγάλωσα και φώλιασα
γεννήθηκα τυχαία και τυχαία με σκότωσα
βιάστηκε ο Θεός με τα άσχημα να με κεράσει
δεν είχα περπατήσει και σχεδόν είχα γεράσει.
Τώρα είμαι φάντασμα σε τούτες τις μέρες
κλέβω ενέργεια και κρύβομαι μες στις φοβέρες
του μυαλού σου του μικρού, του αρρωστημένου
που είναι κομμάτι ενός κόσμου στοιχειωμένου.
Κι εμένα, ρε, σαν να μου φαίνεται πως όλα τα 'δα
αλλά γουστάρω σ' αυτή τη σύγχρονη Ελλάδα
έχει πλάκα που βγάζω την ψυχή μου στο σφυρί
και θέλω απλά να 'δω αν θα την βγάλω καθαρή.
Εμένα άλλο με τρώει, άλλο μου φταίει
δεν μπορώ να καταλάβω πολλά και τι να λέει
19 Νοέμβρη για χάρη του μαλάκα
έφαγα δακρυγόνο ενώ είχα πάει για πλάκα.
Καθένας το βιολί του και την τρέλα του
με τα παράξενα και τα ωραία του
ό, τι μάζευα καιρό στη φωτιά θα τα ρίξω
μη σταματάτε, άμα βιαζόσαστε, εγώ θα πηδήξω";1;1999
Στον καιρό του αλλόκοτου φόβου;Βλακόστρωτο;Foxmoor B.D. ( Μυτακίδης Μιχάλης );Foxmoor B.D. ( Μυτακίδης Μιχάλης );ACTIVE MEMBER;WEA MUSIC GREECE;2001-10-01;"Μάνο, σ' αυτό το τόπο το βλακόστρωτο
και που φωνάζω, τίποτα δε κάνω.
Μάνο, ζούμε με φόβο αλλόκοτο
γι' αυτό σου λέω, καλά περνάτε εκεί πάνω.
Μάνο, το μυαλό μου αυτοεξορίστηκε
μάλλον, νομίζω πως τα χάνω.
Μάνο, το καθεστώς μας ερεθίστηκε
και θέλει να ναι συνέχεια από πάνω.
Μάνο, πολιτισμός σε αποσύνθεση.
Φτάνει κι η Ολυμπιάδα αυτό μας έλειπε από πάνω.
Μάνο, θα πουν πως σου 'κλεψα τη σύνθεση.
Εντάξει αφού το ξέρουν, εγώ δε παίζω πιάνο.
Μάνο, θα ξεράσω στην πατρίδα μου
κάπου θα έφαγα τρελή αχ Ελλάδα, Μάνο.
Μάνο, θα στήσω μόνος τη παγίδα μου
ψάχνω κουράγιο και θα τη κάνω.";1;2001
